Species: Feline, Name: Lion, Age: 3, Health Status: Good, Food: Deer, Water: 2 Litre
Species: Feline, Name: Lion, Age: 6, Health Status: Good, Food: Meat, Water: 2Litre, Movable: Yes, Location: South West, Diet: Carnivore, Sleep Times: 7am to 6pm, Zoo Time: 2 years, Cost: R100000
Species: Donkey, Name: Raccoon, Age: 0, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: Donkey, Name: Raccoon, Age: 12, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: donkey, Name: donkey, Age: 0, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: donkey, Name: donkey, Age: 12, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: 3234, Name: 34534534, Age: 345345, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: fgfgdf, Name: dfgfdgdfg, Age: 345345, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: 5646, Name: 54654, Age: 546546, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: 456546, Name: 456546, Age: 6546, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: 345345, Name: 345345, Age: 34534, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: 36768, Name: 76867, Age: 867, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: 098000, Name: 8908978, Age: 1234, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: rghfghfgh, Name: hfghfg, Age: 43, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: 12, Name: 12, Age: -10, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: 12, Name: 2, Age: 0, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: 324, Name: 234, Age: 100, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: dfg, Name: dfg, Age: 567, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: 342424234, Name: 324, Age: 234, Health Status: 234, Food: 234, Water: 324, Movable: 324, Location: 324, Diet: 4, Sleep Times: 432, Zoo Time: 24, Cost: 3
Species: 234, Name: 234, Age: 23, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: Snake, Name: Snake, Age: 12, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: Snake, Name: snake, Age: 12, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: Snake, Name: Snake, Age: 12, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: Snake, Name: Snake, Age: 12, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: Snake, Name: Snake, Age: 12, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: 346, Name: 3465, Age: 346, Health Status: 346, Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
Species: 3456, Name: 3465, Age: 46, Health Status: 3456, Food: 456, Water: , Movable: , Location: , Diet: 436, Sleep Times: 456, Zoo Time: , Cost: 
Species: Snake, Name: snake, Age: 4, Health Status: , Food: , Water: , Movable: , Location: , Diet: , Sleep Times: , Zoo Time: , Cost: 
